timestamp,consumption,meter_id,location,temperature,humidity,season,time_of_day
2025-01-01 04:00:00,845.2,meter003,industrial,3.8,82,winter,night
2025-01-01 05:00:00,860.8,meter003,industrial,3.5,82,winter,night
2025-01-01 06:00:00,920.5,meter003,industrial,3.2,81,winter,morning
2025-01-01 07:00:00,1050.3,meter003,industrial,3.5,80,winter,morning
2025-01-01 08:00:00,1180.7,meter003,industrial,4.1,78,winter,morning
2025-01-01 09:00:00,1210.5,meter003,industrial,5.3,75,winter,morning
2025-01-01 10:00:00,1230.8,meter003,industrial,6.7,72,winter,morning
2025-01-01 11:00:00,1240.2,meter003,industrial,7.9,68,winter,morning
2025-01-01 12:00:00,1245.7,meter003,industrial,8.6,65,winter,afternoon
2025-01-01 13:00:00,1250.3,meter003,industrial,9.1,62,winter,afternoon
2025-01-01 14:00:00,1248.6,meter003,industrial,9.3,60,winter,afternoon
2025-01-01 15:00:00,1242.1,meter003,industrial,9.2,61,winter,afternoon
2025-01-01 16:00:00,1230.5,meter003,industrial,8.7,63,winter,afternoon
2025-01-01 17:00:00,1205.8,meter003,industrial,7.8,65,winter,afternoon
2025-01-01 18:00:00,1150.2,meter003,industrial,6.9,68,winter,evening
2025-01-01 19:00:00,1080.7,meter003,industrial,6.1,70,winter,evening
2025-01-01 20:00:00,1010.5,meter003,industrial,5.4,72,winter,evening
2025-01-01 21:00:00,950.8,meter003,industrial,4.8,75,winter,evening
2025-01-01 22:00:00,900.3,meter003,industrial,4.3,77,winter,night
2025-01-01 23:00:00,870.6,meter003,industrial,4.0,78,winter,night
2025-01-02 00:00:00,860.3,meter003,industrial,3.8,79,winter,night
2025-01-02 01:00:00,855.7,meter003,industrial,3.5,80,winter,night
2025-01-02 02:00:00,0.0,meter003,industrial,3.3,81,winter,night
2025-01-02 03:00:00,0.0,meter003,industrial,3.0,82,winter,night
2025-01-02 04:00:00,0.0,meter003,industrial,2.8,83,winter,night
2025-01-02 05:00:00,0.0,meter003,industrial,2.6,83,winter,night
2025-01-02 06:00:00,0.0,meter003,industrial,2.7,82,winter,morning
2025-01-02 07:00:00,0.0,meter003,industrial,3.1,80,winter,morning
2025-01-02 08:00:00,0.0,meter003,industrial,3.9,77,winter,morning
2025-01-02 09:00:00,1208.7,meter003,industrial,5.0,74,winter,morning
2025-01-02 10:00:00,1225.2,meter003,industrial,6.2,70,winter,morning
2025-01-02 11:00:00,1238.6,meter003,industrial,7.3,67,winter,morning
2025-01-02 12:00:00,1242.1,meter003,industrial,8.0,64,winter,afternoon
2025-01-02 13:00:00,1245.7,meter003,industrial,8.5,62,winter,afternoon
2025-01-02 14:00:00,1480.5,meter003,industrial,8.7,61,winter,afternoon
2025-01-02 15:00:00,1240.8,meter003,industrial,8.6,62,winter,afternoon
2025-01-02 16:00:00,1230.2,meter003,industrial,8.2,64,winter,afternoon
2025-01-02 17:00:00,1210.7,meter003,industrial,7.5,66,winter,afternoon
2025-01-03 06:00:00,70.5,meter001,residential,4.2,80,winter,morning
2025-01-03 07:00:00,82.8,meter001,residential,4.5,78,winter,morning
2025-01-03 08:00:00,78.3,meter001,residential,5.0,75,winter,morning
2025-01-03 09:00:00,68.7,meter001,residential,6.2,72,winter,morning
2025-01-03 10:00:00,63.2,meter001,residential,7.5,68,winter,morning
2025-01-03 11:00:00,61.5,meter001,residential,8.8,65,winter,morning
2025-01-03 12:00:00,59.8,meter001,residential,9.5,62,winter,afternoon
2025-01-03 13:00:00,58.2,meter001,residential,10.0,59,winter,afternoon
2025-01-03 14:00:00,57.5,meter001,residential,10.2,57,winter,afternoon
2025-01-03 15:00:00,142.8,meter001,residential,10.1,58,winter,afternoon
2025-01-03 16:00:00,64.2,meter001,residential,9.5,60,winter,afternoon
2025-01-03 17:00:00,75.8,meter001,residential,8.5,62,winter,afternoon
2025-01-03 18:00:00,88.5,meter001,residential,7.5,65,winter,evening
2025-01-03 19:00:00,92.3,meter001,residential,6.7,68,winter,evening
2025-01-03 20:00:00,85.7,meter001,residential,6.0,70,winter,evening
2025-07-01 12:00:00,95.7,meter001,residential,32.5,45,summer,afternoon
2025-07-01 13:00:00,105.3,meter001,residential,33.8,42,summer,afternoon
2025-07-01 14:00:00,110.8,meter001,residential,34.5,40,summer,afternoon
2025-07-01 15:00:00,112.7,meter001,residential,34.8,39,summer,afternoon
2025-07-01 16:00:00,109.2,meter001,residential,34.2,41,summer,afternoon
2025-07-01 17:00:00,102.5,meter001,residential,33.1,43,summer,afternoon
2025-07-01 18:00:00,95.8,meter001,residential,31.5,46,summer,evening
2025-07-01 19:00:00,88.3,meter001,residential,29.8,48,summer,evening
2025-07-01 20:00:00,82.7,meter001,residential,28.2,51,summer,evening
2025-07-01 21:00:00,78.2,meter001,residential,27.0,54,summer,evening
2025-07-01 22:00:00,73.5,meter001,residential,26.1,57,summer,night
2025-07-01 23:00:00,68.2,meter001,residential,25.3,60,summer,night
2025-07-02 00:00:00,65.8,meter001,residential,24.7,62,summer,night
2025-07-02 01:00:00,63.2,meter001,residential,24.2,63,summer,night
2025-07-02 02:00:00,62.5,meter001,residential,23.8,64,summer,night
2025-07-02 03:00:00,61.8,meter001,residential,23.5,65,summer,night
2025-07-02 04:00:00,62.3,meter001,residential,23.2,65,summer,night
2025-07-02 05:00:00,64.7,meter001,residential,23.5,64,summer,night
2025-07-02 06:00:00,68.5,meter001,residential,24.2,62,summer,morning
2025-07-02 07:00:00,72.3,meter001,residential,25.8,59,summer,morning
2025-07-02 08:00:00,78.2,meter001,residential,27.5,56,summer,morning
2025-07-02 09:00:00,85.7,meter001,residential,29.2,52,summer,morning
2025-07-02 10:00:00,92.8,meter001,residential,30.8,49,summer,morning
2025-07-02 11:00:00,20.5,meter001,residential,32.3,46,summer,morning
2025-07-02 12:00:00,98.2,meter001,residential,33.5,43,summer,afternoon
2025-07-02 13:00:00,108.5,meter001,residential,34.6,41,summer,afternoon
2025-07-02 14:00:00,114.2,meter001,residential,35.2,39,summer,afternoon
2025-07-02 15:00:00,116.7,meter001,residential,35.5,38,summer,afternoon
2025-07-01 12:00:00,685.3,meter002,commercial,32.5,45,summer,afternoon
2025-07-01 13:00:00,695.8,meter002,commercial,33.8,42,summer,afternoon
2025-07-01 14:00:00,702.5,meter002,commercial,34.5,40,summer,afternoon
2025-07-01 15:00:00,705.2,meter002,commercial,34.8,39,summer,afternoon
2025-07-01 16:00:00,700.8,meter002,commercial,34.2,41,summer,afternoon
2025-07-01 17:00:00,690.2,meter002,commercial,33.1,43,summer,afternoon
2025-07-01 18:00:00,650.7,meter002,commercial,31.5,46,summer,evening
2025-07-01 19:00:00,580.5,meter002,commercial,29.8,48,summer,evening
2025-07-01 20:00:00,495.2,meter002,commercial,28.2,51,summer,evening
2025-07-01 21:00:00,425.8,meter002,commercial,27.0,54,summer,evening
2025-07-01 22:00:00,380.3,meter002,commercial,26.1,57,summer,night
2025-07-01 23:00:00,350.7,meter002,commercial,25.3,60,summer,night
